10	63	1024	2
0.002	0.0013	
0.0028	0.0015	
0.0034	0.0016	
0.0038	0.0016	
0.004	0.0018	
0.0039	0.002	
0.0034	0.0021	
0.0029	0.0021	
0.0022	0.0018	
0.0013	0.0016	
0.0002	0.0015	
-0.0009	0.0013	
-0.002	0.0012	
-0.0024	0.0013	
-0.0026	0.0016	
-0.0024	0.0018	
-0.0022	0.0021	
-0.0017	0.0023	
-0.0012	0.0026	
-0.0006	0.0028	
0.0004	0.0028	
0.0016	0.0028	
0.0027	0.0026	
0.0034	0.0024	
0.0034	0.0023	
0.0031	0.0022	
0.0026	0.0023	
0.0023	0.0024	
0.0021	0.0023	
0.0021	0.0023	
0.0022	0.0022	
0.0027	0.0023	
0.0033	0.0023	
0.004	0.0021	
0.0046	0.0021	
0.0051	0.0018	
0.0052	0.0018	
0.005	0.0018	
0.0045	0.0017	
0.0038	0.0016	
